,user_id,item_id,time
27511,35436,99685,0.9842110026627152
6439,35425,81685,0.98422166277551
12610,35403,4007,0.9841685003759864
11859,35370,19806,0.9842083775381762
26794,35337,115472,0.9841959471539428
25344,35315,31959,0.9842170383672254
12447,35304,102670,0.9841723633025794
16386,35282,57757,0.9842082418972784
3676,35260,38427,0.9841534511760928
7569,35249,10511,0.9842208628096566
16756,35238,112185,0.9841078266251619
21504,35205,69594,0.9841031542693972
8628,35183,41187,0.9841498191544702
7802,35150,44840,0.9841707665253124
5388,35139,44054,0.9841743953924956
26150,35106,22421,0.9841197901523516
9018,35095,97943,0.9842116203019664
2155,35062,74819,0.9841516916297484
14557,35040,32275,0.984204589687243
16355,34996,53244,0.9841593310512924
16137,34963,22869,0.984071318404342
22773,34941,14703,0.9841734269795736
17819,34930,22669,0.9841594830952756
25703,34875,85615,0.9840611611092012
22589,34853,111851,0.9842160472423392
27319,34842,70909,0.984222850106532
3893,34831,71894,0.984224832987192
1746,34820,14777,0.9841154281934322
11960,34798,34308,0.9841942904423254
26147,34754,22049,0.9842167910591698
20020,34721,97287,0.9842101314065296
3164,34688,90546,0.9841700668706346
13587,34666,14910,0.98419637994304
17374,34655,79433,0.9840854812067404
4546,34644,45615,0.9842186250502862
20043,34622,100945,0.9841101993945424
3313,34611,109910,0.9842062167471292
16793,34589,116452,0.9841139588555204
15975,34567,1604,0.9841979994322716
22108,34545,40510,0.9842122644385092
10787,34523,110777,0.9842301160424409
4573,34501,51203,0.9841031233558905
24411,34479,21782,0.9842068520512414
431,34457,59394,0.9841737626119348
18087,34446,58371,0.9842270827334324
17942,34435,38545,0.9842209359926528
18712,34424,24590,0.9841663528335852
20554,34413,52418,0.9840554692385952
27323,34391,71923,0.9841743733114192
22307,34369,70137,0.9841906786091156
17253,34347,64627,0.9842000359384028
9448,34314,37564,0.9841777327894704
24101,34303,98549,0.9842104178296348
14470,34281,19142,0.9840924960492664
17969,34259,43539,0.9841148269572664
6855,34237,17077,0.9842279767015824
11614,34193,109508,0.98409213202695
5288,34160,29594,0.9841538013188756
18888,34116,52483,0.9840941906141576
10959,34105,14668,0.9842287337670588
10657,34083,92450,0.9841623290305788
22361,34050,79543,0.984143503966622
15752,34017,85902,0.9840483338964808
2141,34006,72906,0.9842208924613878
26968,33984,19778,0.9841471568075452
3719,33973,44792,0.9840719593864452
319,33929,43575,0.9842062773123672
15819,33863,96654,0.9842024869378824
16052,33819,11328,0.9842119136648384
25361,33808,34331,0.9841229628875854
5378,33753,42412,0.9840420105070896
24020,33742,87389,0.9842065302984141
26366,33731,54958,0.9841973319528766
1573,33698,111720,0.984143888808239
10457,33687,63671,0.9842087693195604
2750,33676,30619,0.9842204117248105
18919,33665,56033,0.98419962586127
1393,33643,86428,0.9842254966812596
24318,33632,7708,0.9841093596827516
9740,33588,80413,0.9842267666585962
2253,33555,89770,0.984099588491004
27364,33544,77783,0.9842007469490628
5283,33522,28961,0.984174562577788
8878,33500,79777,0.984223340306428
21310,33478,40604,0.9841924690689671
16948,33467,20349,0.9841298490289804
7859,33456,53475,0.9842161210562232
11808,33445,13710,0.9842227983737244
16570,33423,86290,0.9842069416373228
11871,33412,21241,0.9842233661728316
16819,33401,2627,0.9840544068233766
21708,33390,99449,0.98419977285815
3575,33368,22500,0.9842140908589708
1350,33346,79075,0.9841108189264572
5182,33291,14236,0.9842028257246832
15936,33225,112951,0.9841959238110908
1325,33203,74829,0.9841638810148052
10764,33192,107925,0.9842224488618296
23670,33181,27206,0.9841004061217182
2199,33170,80116,0.984205414888612
2606,33137,12494,0.9841706927114284
26610,33126,92711,0.9841641750085649
5471,33115,55350,0.9841705640102972
14327,33093,1959,0.9841743720496432
14662,33082,47648,0.9842206483077716
18930,33071,57137,0.9842039524904672
10544,33038,77186,0.984144408659866
16987,32983,25836,0.9840860294483228
5736,32961,97492,0.9842289747662356
689,32928,100298,0.9840490871766296
6262,32917,51804,0.984066420821598
21625,32884,86956,0.9842254216056
5793,32873,104593,0.9840622986000794
11359,32774,71750,0.984219623745827
6897,32763,23483,0.9840425505471294
14886,32752,81699,0.9842138176845115
1808,32741,24382,0.9841649711890909
25713,32719,86692,0.9842202647279304
27318,32708,70800,0.9841156799177032
